model,token,n_window,format,source_tag,n_agents,majority_pct,num_simulations,correct_rate_percent,convergence_rate_percent,wrong_consensus_rate_percent,no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,60,51,50,50.0,100.0,50.0,0.0,7.72
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,90,51,50,50.0,100.0,50.0,0.0,9.8
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,120,51,50,50.0,100.0,50.0,0.0,10.16
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,30,55,50,50.0,100.0,50.0,0.0,2.96
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,60,55,50,50.0,100.0,50.0,0.0,5.44
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,90,55,50,50.0,100.0,50.0,0.0,6.8
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,120,55,50,50.0,100.0,50.0,0.0,7.92
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,30,60,50,50.0,100.0,50.0,0.0,2.6
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,60,60,50,50.0,100.0,50.0,0.0,3.6
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,90,60,50,50.0,100.0,50.0,0.0,4.04
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,120,60,50,50.0,100.0,50.0,0.0,5.6
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,30,65,50,78.0,100.0,22.0,0.0,2.2051282051282053
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,60,65,50,52.0,100.0,48.0,0.0,2.6538461538461537
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,90,65,50,50.0,100.0,50.0,0.0,2.64
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,120,65,50,50.0,100.0,50.0,0.0,3.36
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,30,70,50,90.0,100.0,10.0,0.0,1.9555555555555555
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,60,70,50,62.0,100.0,38.0,0.0,2.225806451612903
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,90,70,50,57.99999999999999,100.0,42.0,0.0,2.413793103448276
Gemma 27B,ab,11,com_cot,srv54_parallel_20260313,120,70,50,50.0,100.0,50.0,0.0,2.56
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,30,51,50,6.0,6.0,0.0,94.0,3.0
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,30,55,50,12.0,12.0,0.0,88.0,2.8333333333333335
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,30,60,50,30.0,30.0,0.0,70.0,2.2666666666666666
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,60,60,50,8.0,8.0,0.0,92.0,3.0
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,90,60,50,4.0,4.0,0.0,96.0,3.5
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,30,65,50,74.0,74.0,0.0,26.0,1.8108108108108107
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,60,65,50,40.0,40.0,0.0,60.0,2.35
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,90,65,50,22.0,22.0,0.0,78.0,2.5454545454545454
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,120,65,50,2.0,2.0,0.0,98.0,3.0
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,30,70,50,82.0,82.0,0.0,18.0,1.4878048780487805
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,60,70,50,62.0,62.0,0.0,38.0,1.8709677419354838
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,90,70,50,42.0,42.0,0.0,57.99999999999999,2.1904761904761907
Gemma 27B,ab,11,only_token,srv54_parallel_20260313,120,70,50,32.0,32.0,0.0,68.0,2.125
Gemma 27B,kz,7,com_cot,srv54_parallel_20260313,30,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,kz,7,com_cot,srv54_parallel_20260313,60,51,50,0.0,0.0,0.0,100.0,
